category,relative_log_path,device,particles,steps,density,temperature,seed,log_energies,gpu_block_size,box_size,time_seconds,start_ke,start_pe,start_total,final_ke,final_pe,final_total,delta_total,final_state
basic,basic/cpu/particles_1000/run_01.log,cpu,1000,5000,0.95,0.5,42,0,256,44.0,31.445723,500.0,-1374.6937798533,-874.6937798533,742.6950073623,-1617.3903830449,-874.6953756826,-0.0015958293,-
basic,basic/cpu/particles_1000/run_02.log,cpu,1000,5000,0.95,0.5,42,0,256,44.0,31.450848,500.0,-1374.6937798533,-874.6937798533,742.6950073623,-1617.3903830449,-874.6953756826,-0.0015958293,-
basic,basic/cpu/particles_1000/run_03.log,cpu,1000,5000,0.95,0.5,42,0,256,44.0,31.450403,500.0,-1374.6937798533,-874.6937798533,742.6950073623,-1617.3903830449,-874.6953756826,-0.0015958293,-
basic,basic/cpu/particles_1000/run_04.log,cpu,1000,5000,0.95,0.5,42,0,256,44.0,31.504766,500.0,-1374.6937798533,-874.6937798533,742.6950073623,-1617.3903830449,-874.6953756826,-0.0015958293,-
basic,basic/cpu/particles_1000/run_05.log,cpu,1000,5000,0.95,0.5,42,0,256,44.0,31.449815,500.0,-1374.6937798533,-874.6937798533,742.6950073623,-1617.3903830449,-874.6953756826,-0.0015958293,-
basic,basic/cpu/particles_2000/run_01.log,cpu,2000,5000,0.95,0.5,42,0,256,61.333333,113.427217,1000.0,-2209.7222426854,-1209.7222426854,1995.5621264373,-3205.3739858903,-1209.8118594531,-0.0896167676,-
basic,basic/cpu/particles_2000/run_02.log,cpu,2000,5000,0.95,0.5,42,0,256,61.333333,113.441386,1000.0,-2209.7222426854,-1209.7222426854,1995.5621264373,-3205.3739858903,-1209.8118594531,-0.0896167676,-
basic,basic/cpu/particles_2000/run_03.log,cpu,2000,5000,0.95,0.5,42,0,256,61.333333,113.454969,1000.0,-2209.7222426854,-1209.7222426854,1995.5621264373,-3205.3739858903,-1209.8118594531,-0.0896167676,-
basic,basic/cpu/particles_2000/run_04.log,cpu,2000,5000,0.95,0.5,42,0,256,61.333333,113.462343,1000.0,-2209.7222426854,-1209.7222426854,1995.5621264373,-3205.3739858903,-1209.8118594531,-0.0896167676,-
basic,basic/cpu/particles_2000/run_05.log,cpu,2000,5000,0.95,0.5,42,0,256,61.333333,113.427937,1000.0,-2209.7222426854,-1209.7222426854,1995.5621264373,-3205.3739858903,-1209.8118594531,-0.0896167676,-
basic,basic/cpu/particles_4000/run_01.log,cpu,4000,5000,0.95,0.5,42,0,256,86.666667,427.468481,2000.0,-3540.4063552252,-1540.4063552252,5056.1964966696,-6596.8521502151,-1540.6556535455,-0.2492983203,-
basic,basic/cpu/particles_4000/run_02.log,cpu,4000,5000,0.95,0.5,42,0,256,86.666667,427.506463,2000.0,-3540.4063552252,-1540.4063552252,5056.1964966696,-6596.8521502151,-1540.6556535455,-0.2492983203,-
basic,basic/cpu/particles_4000/run_03.log,cpu,4000,5000,0.95,0.5,42,0,256,86.666667,427.414604,2000.0,-3540.4063552252,-1540.4063552252,5056.1964966696,-6596.8521502151,-1540.6556535455,-0.2492983203,-
basic,basic/cpu/particles_4000/run_04.log,cpu,4000,5000,0.95,0.5,42,0,256,86.666667,427.42538,2000.0,-3540.4063552252,-1540.4063552252,5056.1964966696,-6596.8521502151,-1540.6556535455,-0.2492983203,-
basic,basic/cpu/particles_4000/run_05.log,cpu,4000,5000,0.95,0.5,42,0,256,86.666667,427.387192,2000.0,-3540.4063552252,-1540.4063552252,5056.1964966696,-6596.8521502151,-1540.6556535455,-0.2492983203,-
basic,basic/cpu/particles_8000/run_01.log,cpu,8000,5000,0.95,0.5,42,0,256,122.666667,1658.599938,4000.0,-9024.4831639641,-5024.4831639641,9688.1268468992,-14712.9363483267,-5024.8095014275,-0.3263374634,-
basic,basic/gpu/block_128/particles_1000/run_02.log,gpu,1000,5000,0.95,0.5,42,0,128,44.0,2.73895,500.0,-1374.6937798533,-874.6937798533,742.0151925042,-1616.7049722225,-874.6897797182,0.004000135,-
basic,basic/gpu/block_128/particles_1000/run_03.log,gpu,1000,5000,0.95,0.5,42,0,128,44.0,2.737574,500.0,-1374.6937798533,-874.6937798533,742.0151925042,-1616.7049722225,-874.6897797182,0.004000135,-
basic,basic/gpu/block_128/particles_1000/run_04.log,gpu,1000,5000,0.95,0.5,42,0,128,44.0,2.737608,500.0,-1374.6937798533,-874.6937798533,742.0151925042,-1616.7049722225,-874.6897797182,0.004000135,-
basic,basic/gpu/block_128/particles_1000/run_05.log,gpu,1000,5000,0.95,0.5,42,0,128,44.0,2.741905,500.0,-1374.6937798533,-874.6937798533,742.0151925042,-1616.7049722225,-874.6897797182,0.004000135,-
basic,basic/gpu/block_128/particles_2000/run_01.log,gpu,2000,5000,0.95,0.5,42,0,128,61.333333,4.692628,1000.0,-2209.7222426854,-1209.7222426854,2002.767543507,-3212.5895124752,-1209.8219689683,-0.0997262828,-
basic,basic/gpu/block_128/particles_2000/run_02.log,gpu,2000,5000,0.95,0.5,42,0,128,61.333333,4.69349,1000.0,-2209.7222426854,-1209.7222426854,2002.767543507,-3212.5895124752,-1209.8219689683,-0.0997262828,-
basic,basic/gpu/block_128/particles_2000/run_03.log,gpu,2000,5000,0.95,0.5,42,0,128,61.333333,4.689347,1000.0,-2209.7222426854,-1209.7222426854,2002.767543507,-3212.5895124752,-1209.8219689683,-0.0997262828,-
basic,basic/gpu/block_128/particles_2000/run_04.log,gpu,2000,5000,0.95,0.5,42,0,128,61.333333,4.692431,1000.0,-2209.7222426854,-1209.7222426854,2002.767543507,-3212.5895124752,-1209.8219689683,-0.0997262828,-
basic,basic/gpu/block_128/particles_2000/run_05.log,gpu,2000,5000,0.95,0.5,42,0,128,61.333333,4.689016,1000.0,-2209.7222426854,-1209.7222426854,2002.767543507,-3212.5895124752,-1209.8219689683,-0.0997262828,-
basic,basic/gpu/block_128/particles_4000/run_01.log,gpu,4000,5000,0.95,0.5,42,0,128,86.666667,8.455241,2000.0,-3540.4063552252,-1540.4063552252,5099.9528239213,-6640.6254692929,-1540.6726453716,-0.2662901464,-
basic,basic/gpu/block_128/particles_4000/run_02.log,gpu,4000,5000,0.95,0.5,42,0,128,86.666667,8.46156,2000.0,-3540.4063552252,-1540.4063552252,5099.9528239213,-6640.6254692929,-1540.6726453716,-0.2662901464,-
basic,basic/gpu/block_128/particles_4000/run_03.log,gpu,4000,5000,0.95,0.5,42,0,128,86.666667,8.456565,2000.0,-3540.4063552252,-1540.4063552252,5099.9528239213,-6640.6254692929,-1540.6726453716,-0.2662901464,-
basic,basic/gpu/block_128/particles_4000/run_04.log,gpu,4000,5000,0.95,0.5,42,0,128,86.666667,8.457761,2000.0,-3540.4063552252,-1540.4063552252,5099.9528239213,-6640.6254692929,-1540.6726453716,-0.2662901464,-
basic,basic/gpu/block_128/particles_4000/run_05.log,gpu,4000,5000,0.95,0.5,42,0,128,86.666667,8.456048,2000.0,-3540.4063552252,-1540.4063552252,5099.9528239213,-6640.6254692929,-1540.6726453716,-0.2662901464,-
basic,basic/gpu/block_128/particles_8000/run_01.log,gpu,8000,5000,0.95,0.5,42,0,128,122.666667,15.979549,4000.0,-9024.483163964,-5024.483163964,9688.0233355217,-14712.8408261832,-5024.8174906615,-0.3343266975,-
basic,basic/gpu/block_128/particles_8000/run_02.log,gpu,8000,5000,0.95,0.5,42,0,128,122.666667,15.976209,4000.0,-9024.483163964,-5024.483163964,9688.0233355217,-14712.8408261832,-5024.8174906615,-0.3343266975,-
basic,basic/gpu/block_128/particles_8000/run_03.log,gpu,8000,5000,0.95,0.5,42,0,128,122.666667,15.978842,4000.0,-9024.483163964,-5024.483163964,9688.0233355217,-14712.8408261832,-5024.8174906615,-0.3343266975,-
basic,basic/gpu/block_128/particles_8000/run_04.log,gpu,8000,5000,0.95,0.5,42,0,128,122.666667,15.977014,4000.0,-9024.483163964,-5024.483163964,9688.0233355217,-14712.8408261832,-5024.8174906615,-0.3343266975,-
basic,basic/gpu/block_128/particles_8000/run_05.log,gpu,8000,5000,0.95,0.5,42,0,128,122.666667,15.983684,4000.0,-9024.483163964,-5024.483163964,9688.0233355217,-14712.8408261832,-5024.8174906615,-0.3343266975,-
basic,basic/gpu/block_256/particles_1000/run_01.log,gpu,1000,5000,0.95,0.5,42,0,256,44.0,2.970922,500.0,-1374.6937798533,-874.6937798533,742.0151925042,-1616.7049722225,-874.6897797182,0.004000135,-
basic,basic/gpu/block_256/particles_1000/run_02.log,gpu,1000,5000,0.95,0.5,42,0,256,44.0,2.8626,500.0,-1374.6937798533,-874.6937798533,742.0151925042,-1616.7049722225,-874.6897797182,0.004000135,-
basic,basic/gpu/block_256/particles_1000/run_03.log,gpu,1000,5000,0.95,0.5,42,0,256,44.0,2.863104,500.0,-1374.6937798533,-874.6937798533,742.0151925042,-1616.7049722225,-874.6897797182,0.004000135,-
basic,basic/gpu/block_256/particles_1000/run_04.log,gpu,1000,5000,0.95,0.5,42,0,256,44.0,2.861061,500.0,-1374.6937798533,-874.6937798533,742.0151925042,-1616.7049722225,-874.6897797182,0.004000135,-
basic,basic/gpu/block_256/particles_1000/run_05.log,gpu,1000,5000,0.95,0.5,42,0,256,44.0,2.863287,500.0,-1374.6937798533,-874.6937798533,742.0151925042,-1616.7049722225,-874.6897797182,0.004000135,-
basic,basic/gpu/block_256/particles_2000/run_01.log,gpu,2000,5000,0.95,0.5,42,0,256,61.333333,4.813914,1000.0,-2209.7222426854,-1209.7222426854,2002.767543507,-3212.5895124752,-1209.8219689683,-0.0997262828,-
basic,basic/gpu/block_256/particles_2000/run_02.log,gpu,2000,5000,0.95,0.5,42,0,256,61.333333,4.813474,1000.0,-2209.7222426854,-1209.7222426854,2002.767543507,-3212.5895124752,-1209.8219689683,-0.0997262828,-
basic,basic/gpu/block_256/particles_2000/run_03.log,gpu,2000,5000,0.95,0.5,42,0,256,61.333333,4.813441,1000.0,-2209.7222426854,-1209.7222426854,2002.767543507,-3212.5895124752,-1209.8219689683,-0.0997262828,-
basic,basic/gpu/block_256/particles_2000/run_04.log,gpu,2000,5000,0.95,0.5,42,0,256,61.333333,4.813689,1000.0,-2209.7222426854,-1209.7222426854,2002.767543507,-3212.5895124752,-1209.8219689683,-0.0997262828,-
basic,basic/gpu/block_256/particles_2000/run_05.log,gpu,2000,5000,0.95,0.5,42,0,256,61.333333,4.813296,1000.0,-2209.7222426854,-1209.7222426854,2002.767543507,-3212.5895124752,-1209.8219689683,-0.0997262828,-
basic,basic/gpu/block_256/particles_4000/run_01.log,gpu,4000,5000,0.95,0.5,42,0,256,86.666667,8.71696,2000.0,-3540.4063552252,-1540.4063552252,5099.9528239213,-6640.6254692929,-1540.6726453716,-0.2662901464,-
basic,basic/gpu/block_256/particles_4000/run_02.log,gpu,4000,5000,0.95,0.5,42,0,256,86.666667,8.729075,2000.0,-3540.4063552252,-1540.4063552252,5099.9528239213,-6640.6254692929,-1540.6726453716,-0.2662901464,-
basic,basic/gpu/block_256/particles_4000/run_03.log,gpu,4000,5000,0.95,0.5,42,0,256,86.666667,8.711411,2000.0,-3540.4063552252,-1540.4063552252,5099.9528239213,-6640.6254692929,-1540.6726453716,-0.2662901464,-
basic,basic/gpu/block_256/particles_4000/run_04.log,gpu,4000,5000,0.95,0.5,42,0,256,86.666667,8.715533,2000.0,-3540.4063552252,-1540.4063552252,5099.9528239213,-6640.6254692928,-1540.6726453716,-0.2662901464,-
basic,basic/gpu/block_256/particles_4000/run_05.log,gpu,4000,5000,0.95,0.5,42,0,256,86.666667,8.711146,2000.0,-3540.4063552252,-1540.4063552252,5099.9528239213,-6640.6254692929,-1540.6726453716,-0.2662901464,-
basic,basic/gpu/block_256/particles_8000/run_01.log,gpu,8000,5000,0.95,0.5,42,0,256,122.666667,16.605518,4000.0,-9024.483163964,-5024.483163964,9688.0233355217,-14712.8408261831,-5024.8174906614,-0.3343266974,-
block_sweep,block-sweep/block_1024/gpu/particles_1000/run_01.log,gpu,1000,5000,0.95,0.5,42,0,1024,44.0,6.588317,500.0,-1374.6937798533,-874.6937798533,742.0151925042,-1616.7049722225,-874.6897797182,0.004000135,-
block_sweep,block-sweep/block_1024/gpu/particles_1000/run_02.log,gpu,1000,5000,0.95,0.5,42,0,1024,44.0,6.588239,500.0,-1374.6937798533,-874.6937798533,742.0151925042,-1616.7049722225,-874.6897797182,0.004000135,-
block_sweep,block-sweep/block_1024/gpu/particles_1000/run_03.log,gpu,1000,5000,0.95,0.5,42,0,1024,44.0,6.589317,500.0,-1374.6937798533,-874.6937798533,742.0151925042,-1616.7049722225,-874.6897797182,0.004000135,-
block_sweep,block-sweep/block_1024/gpu/particles_1000/run_04.log,gpu,1000,5000,0.95,0.5,42,0,1024,44.0,6.592408,500.0,-1374.6937798533,-874.6937798533,742.0151925042,-1616.7049722225,-874.6897797182,0.004000135,-
block_sweep,block-sweep/block_1024/gpu/particles_1000/run_05.log,gpu,1000,5000,0.95,0.5,42,0,1024,44.0,6.592264,500.0,-1374.6937798533,-874.6937798533,742.0151925042,-1616.7049722225,-874.6897797182,0.004000135,-
block_sweep,block-sweep/block_1024/gpu/particles_2000/run_01.log,gpu,2000,5000,0.95,0.5,42,0,1024,61.333333,10.550646,1000.0,-2209.7222426854,-1209.7222426854,2002.767543507,-3212.5895124752,-1209.8219689683,-0.0997262828,-
block_sweep,block-sweep/block_1024/gpu/particles_2000/run_02.log,gpu,2000,5000,0.95,0.5,42,0,1024,61.333333,10.549607,1000.0,-2209.7222426854,-1209.7222426854,2002.767543507,-3212.5895124752,-1209.8219689683,-0.0997262828,-
block_sweep,block-sweep/block_1024/gpu/particles_2000/run_03.log,gpu,2000,5000,0.95,0.5,42,0,1024,61.333333,10.549184,1000.0,-2209.7222426854,-1209.7222426854,2002.767543507,-3212.5895124752,-1209.8219689683,-0.0997262828,-
block_sweep,block-sweep/block_1024/gpu/particles_2000/run_04.log,gpu,2000,5000,0.95,0.5,42,0,1024,61.333333,10.5544,1000.0,-2209.7222426854,-1209.7222426854,2002.767543507,-3212.5895124752,-1209.8219689683,-0.0997262828,-
block_sweep,block-sweep/block_1024/gpu/particles_2000/run_05.log,gpu,2000,5000,0.95,0.5,42,0,1024,61.333333,10.549209,1000.0,-2209.7222426854,-1209.7222426854,2002.767543507,-3212.5895124752,-1209.8219689683,-0.0997262828,-
block_sweep,block-sweep/block_1024/gpu/particles_4000/run_01.log,gpu,4000,5000,0.95,0.5,42,0,1024,86.666667,18.242229,2000.0,-3540.4063552252,-1540.4063552252,5099.9528239213,-6640.6254692928,-1540.6726453716,-0.2662901464,-
block_sweep,block-sweep/block_1024/gpu/particles_4000/run_02.log,gpu,4000,5000,0.95,0.5,42,0,1024,86.666667,18.248573,2000.0,-3540.4063552252,-1540.4063552252,5099.9528239213,-6640.6254692928,-1540.6726453716,-0.2662901464,-
block_sweep,block-sweep/block_1024/gpu/particles_4000/run_03.log,gpu,4000,5000,0.95,0.5,42,0,1024,86.666667,18.24321,2000.0,-3540.4063552252,-1540.4063552252,5099.9528239213,-6640.6254692928,-1540.6726453716,-0.2662901464,-
block_sweep,block-sweep/block_1024/gpu/particles_4000/run_04.log,gpu,4000,5000,0.95,0.5,42,0,1024,86.666667,18.24392,2000.0,-3540.4063552252,-1540.4063552252,5099.9528239213,-6640.6254692928,-1540.6726453716,-0.2662901464,-
block_sweep,block-sweep/block_1024/gpu/particles_4000/run_05.log,gpu,4000,5000,0.95,0.5,42,0,1024,86.666667,18.243828,2000.0,-3540.4063552252,-1540.4063552252,5099.9528239213,-6640.6254692928,-1540.6726453716,-0.2662901464,-
block_sweep,block-sweep/block_1024/gpu/particles_8000/run_01.log,gpu,8000,5000,0.95,0.5,42,0,1024,122.666667,33.438938,4000.0,-9024.483163964,-5024.483163964,9688.0233355217,-14712.8408261831,-5024.8174906614,-0.3343266974,-
