category,relative_log_path,device,particles,steps,density,temperature,seed,log_energies,gpu_block_size,box_size,time_seconds,start_ke,start_pe,start_total,final_ke,final_pe,final_total,delta_total,final_state
block_sweep,block-sweep/block_128/gpu/particles_1000/run_01.log,gpu,1000,5000,0.95,0.5,42,0,128,44.0,2.737706,500.0,-1374.6937798533,-874.6937798533,742.0151925042,-1616.7049722225,-874.6897797182,0.004000135,-
block_sweep,block-sweep/block_128/gpu/particles_1000/run_02.log,gpu,1000,5000,0.95,0.5,42,0,128,44.0,2.738285,500.0,-1374.6937798533,-874.6937798533,742.0151925042,-1616.7049722225,-874.6897797182,0.004000135,-
block_sweep,block-sweep/block_128/gpu/particles_1000/run_03.log,gpu,1000,5000,0.95,0.5,42,0,128,44.0,2.737959,500.0,-1374.6937798533,-874.6937798533,742.0151925042,-1616.7049722225,-874.6897797182,0.004000135,-
block_sweep,block-sweep/block_128/gpu/particles_1000/run_04.log,gpu,1000,5000,0.95,0.5,42,0,128,44.0,2.737263,500.0,-1374.6937798533,-874.6937798533,742.0151925042,-1616.7049722225,-874.6897797182,0.004000135,-
block_sweep,block-sweep/block_128/gpu/particles_1000/run_05.log,gpu,1000,5000,0.95,0.5,42,0,128,44.0,2.73876,500.0,-1374.6937798533,-874.6937798533,742.0151925042,-1616.7049722225,-874.6897797182,0.004000135,-
block_sweep,block-sweep/block_128/gpu/particles_2000/run_01.log,gpu,2000,5000,0.95,0.5,42,0,128,61.333333,4.685862,1000.0,-2209.7222426854,-1209.7222426854,2002.767543507,-3212.5895124752,-1209.8219689683,-0.0997262828,-
block_sweep,block-sweep/block_128/gpu/particles_2000/run_02.log,gpu,2000,5000,0.95,0.5,42,0,128,61.333333,4.6876,1000.0,-2209.7222426854,-1209.7222426854,2002.767543507,-3212.5895124752,-1209.8219689683,-0.0997262828,-
block_sweep,block-sweep/block_128/gpu/particles_2000/run_03.log,gpu,2000,5000,0.95,0.5,42,0,128,61.333333,4.688397,1000.0,-2209.7222426854,-1209.7222426854,2002.767543507,-3212.5895124752,-1209.8219689683,-0.0997262828,-
block_sweep,block-sweep/block_128/gpu/particles_2000/run_04.log,gpu,2000,5000,0.95,0.5,42,0,128,61.333333,4.689262,1000.0,-2209.7222426854,-1209.7222426854,2002.767543507,-3212.5895124752,-1209.8219689683,-0.0997262828,-
block_sweep,block-sweep/block_128/gpu/particles_2000/run_05.log,gpu,2000,5000,0.95,0.5,42,0,128,61.333333,4.686851,1000.0,-2209.7222426854,-1209.7222426854,2002.767543507,-3212.5895124752,-1209.8219689683,-0.0997262828,-
block_sweep,block-sweep/block_128/gpu/particles_4000/run_01.log,gpu,4000,5000,0.95,0.5,42,0,128,86.666667,8.459166,2000.0,-3540.4063552252,-1540.4063552252,5099.9528239213,-6640.6254692929,-1540.6726453716,-0.2662901464,-
block_sweep,block-sweep/block_128/gpu/particles_4000/run_02.log,gpu,4000,5000,0.95,0.5,42,0,128,86.666667,8.46029,2000.0,-3540.4063552252,-1540.4063552252,5099.9528239213,-6640.6254692929,-1540.6726453716,-0.2662901464,-
block_sweep,block-sweep/block_128/gpu/particles_4000/run_03.log,gpu,4000,5000,0.95,0.5,42,0,128,86.666667,8.457373,2000.0,-3540.4063552252,-1540.4063552252,5099.9528239213,-6640.6254692929,-1540.6726453716,-0.2662901464,-
block_sweep,block-sweep/block_128/gpu/particles_4000/run_04.log,gpu,4000,5000,0.95,0.5,42,0,128,86.666667,8.460253,2000.0,-3540.4063552252,-1540.4063552252,5099.9528239213,-6640.6254692929,-1540.6726453716,-0.2662901464,-
block_sweep,block-sweep/block_128/gpu/particles_4000/run_05.log,gpu,4000,5000,0.95,0.5,42,0,128,86.666667,8.45921,2000.0,-3540.4063552252,-1540.4063552252,5099.9528239213,-6640.6254692929,-1540.6726453716,-0.2662901464,-
block_sweep,block-sweep/block_128/gpu/particles_8000/run_01.log,gpu,8000,5000,0.95,0.5,42,0,128,122.666667,15.971638,4000.0,-9024.483163964,-5024.483163964,9688.0233355217,-14712.8408261832,-5024.8174906615,-0.3343266975,-
block_sweep,block-sweep/block_256/gpu/particles_1000/run_01.log,gpu,1000,5000,0.95,0.5,42,0,256,44.0,2.865931,500.0,-1374.6937798533,-874.6937798533,742.0151925042,-1616.7049722225,-874.6897797182,0.004000135,-
block_sweep,block-sweep/block_256/gpu/particles_1000/run_02.log,gpu,1000,5000,0.95,0.5,42,0,256,44.0,2.86315,500.0,-1374.6937798533,-874.6937798533,742.0151925042,-1616.7049722225,-874.6897797182,0.004000135,-
block_sweep,block-sweep/block_256/gpu/particles_1000/run_03.log,gpu,1000,5000,0.95,0.5,42,0,256,44.0,2.862915,500.0,-1374.6937798533,-874.6937798533,742.0151925042,-1616.7049722225,-874.6897797182,0.004000135,-
block_sweep,block-sweep/block_256/gpu/particles_1000/run_04.log,gpu,1000,5000,0.95,0.5,42,0,256,44.0,2.867214,500.0,-1374.6937798533,-874.6937798533,742.0151925042,-1616.7049722225,-874.6897797182,0.004000135,-
block_sweep,block-sweep/block_256/gpu/particles_1000/run_05.log,gpu,1000,5000,0.95,0.5,42,0,256,44.0,2.860796,500.0,-1374.6937798533,-874.6937798533,742.0151925042,-1616.7049722225,-874.6897797182,0.004000135,-
block_sweep,block-sweep/block_256/gpu/particles_2000/run_01.log,gpu,2000,5000,0.95,0.5,42,0,256,61.333333,4.813196,1000.0,-2209.7222426854,-1209.7222426854,2002.767543507,-3212.5895124752,-1209.8219689683,-0.0997262828,-
block_sweep,block-sweep/block_256/gpu/particles_2000/run_02.log,gpu,2000,5000,0.95,0.5,42,0,256,61.333333,4.812602,1000.0,-2209.7222426854,-1209.7222426854,2002.767543507,-3212.5895124752,-1209.8219689683,-0.0997262828,-
block_sweep,block-sweep/block_256/gpu/particles_2000/run_03.log,gpu,2000,5000,0.95,0.5,42,0,256,61.333333,4.812713,1000.0,-2209.7222426854,-1209.7222426854,2002.767543507,-3212.5895124752,-1209.8219689683,-0.0997262828,-
block_sweep,block-sweep/block_256/gpu/particles_2000/run_04.log,gpu,2000,5000,0.95,0.5,42,0,256,61.333333,4.813237,1000.0,-2209.7222426854,-1209.7222426854,2002.767543507,-3212.5895124752,-1209.8219689683,-0.0997262828,-
block_sweep,block-sweep/block_256/gpu/particles_2000/run_05.log,gpu,2000,5000,0.95,0.5,42,0,256,61.333333,4.814042,1000.0,-2209.7222426854,-1209.7222426854,2002.767543507,-3212.5895124752,-1209.8219689683,-0.0997262828,-
block_sweep,block-sweep/block_256/gpu/particles_4000/run_01.log,gpu,4000,5000,0.95,0.5,42,0,256,86.666667,8.716609,2000.0,-3540.4063552252,-1540.4063552252,5099.9528239213,-6640.6254692929,-1540.6726453716,-0.2662901464,-
block_sweep,block-sweep/block_256/gpu/particles_4000/run_02.log,gpu,4000,5000,0.95,0.5,42,0,256,86.666667,8.72168,2000.0,-3540.4063552252,-1540.4063552252,5099.9528239213,-6640.6254692929,-1540.6726453716,-0.2662901464,-
block_sweep,block-sweep/block_256/gpu/particles_4000/run_03.log,gpu,4000,5000,0.95,0.5,42,0,256,86.666667,8.716502,2000.0,-3540.4063552252,-1540.4063552252,5099.9528239213,-6640.6254692929,-1540.6726453716,-0.2662901464,-
block_sweep,block-sweep/block_256/gpu/particles_4000/run_04.log,gpu,4000,5000,0.95,0.5,42,0,256,86.666667,8.718602,2000.0,-3540.4063552252,-1540.4063552252,5099.9528239213,-6640.6254692929,-1540.6726453716,-0.2662901464,-
block_sweep,block-sweep/block_256/gpu/particles_4000/run_05.log,gpu,4000,5000,0.95,0.5,42,0,256,86.666667,8.726194,2000.0,-3540.4063552252,-1540.4063552252,5099.9528239213,-6640.6254692929,-1540.6726453716,-0.2662901464,-
block_sweep,block-sweep/block_256/gpu/particles_8000/run_01.log,gpu,8000,5000,0.95,0.5,42,0,256,122.666667,16.614128,4000.0,-9024.483163964,-5024.483163964,9688.0233355217,-14712.8408261831,-5024.8174906615,-0.3343266975,-
block_sweep,block-sweep/block_512/gpu/particles_1000/run_01.log,gpu,1000,5000,0.95,0.5,42,0,512,44.0,3.676346,500.0,-1374.6937798533,-874.6937798533,742.0151925042,-1616.7049722225,-874.6897797182,0.004000135,-
block_sweep,block-sweep/block_512/gpu/particles_1000/run_02.log,gpu,1000,5000,0.95,0.5,42,0,512,44.0,3.675828,500.0,-1374.6937798533,-874.6937798533,742.0151925042,-1616.7049722225,-874.6897797182,0.004000135,-
block_sweep,block-sweep/block_512/gpu/particles_1000/run_03.log,gpu,1000,5000,0.95,0.5,42,0,512,44.0,3.67564,500.0,-1374.6937798533,-874.6937798533,742.0151925042,-1616.7049722225,-874.6897797182,0.004000135,-
block_sweep,block-sweep/block_512/gpu/particles_1000/run_04.log,gpu,1000,5000,0.95,0.5,42,0,512,44.0,3.678315,500.0,-1374.6937798533,-874.6937798533,742.0151925042,-1616.7049722225,-874.6897797182,0.004000135,-
block_sweep,block-sweep/block_512/gpu/particles_1000/run_05.log,gpu,1000,5000,0.95,0.5,42,0,512,44.0,3.676332,500.0,-1374.6937798533,-874.6937798533,742.0151925042,-1616.7049722225,-874.6897797182,0.004000135,-
block_sweep,block-sweep/block_512/gpu/particles_2000/run_01.log,gpu,2000,5000,0.95,0.5,42,0,512,61.333333,5.839284,1000.0,-2209.7222426854,-1209.7222426854,2002.767543507,-3212.5895124752,-1209.8219689683,-0.0997262828,-
block_sweep,block-sweep/block_512/gpu/particles_2000/run_02.log,gpu,2000,5000,0.95,0.5,42,0,512,61.333333,5.8386,1000.0,-2209.7222426854,-1209.7222426854,2002.767543507,-3212.5895124752,-1209.8219689683,-0.0997262828,-
block_sweep,block-sweep/block_512/gpu/particles_2000/run_03.log,gpu,2000,5000,0.95,0.5,42,0,512,61.333333,5.840067,1000.0,-2209.7222426854,-1209.7222426854,2002.767543507,-3212.5895124752,-1209.8219689683,-0.0997262828,-
block_sweep,block-sweep/block_512/gpu/particles_2000/run_04.log,gpu,2000,5000,0.95,0.5,42,0,512,61.333333,5.840544,1000.0,-2209.7222426854,-1209.7222426854,2002.767543507,-3212.5895124752,-1209.8219689683,-0.0997262828,-
block_sweep,block-sweep/block_512/gpu/particles_2000/run_05.log,gpu,2000,5000,0.95,0.5,42,0,512,61.333333,5.839073,1000.0,-2209.7222426854,-1209.7222426854,2002.767543507,-3212.5895124752,-1209.8219689683,-0.0997262828,-
block_sweep,block-sweep/block_512/gpu/particles_4000/run_01.log,gpu,4000,5000,0.95,0.5,42,0,512,86.666667,10.297927,2000.0,-3540.4063552252,-1540.4063552252,5099.9528239213,-6640.6254692928,-1540.6726453715,-0.2662901464,-
block_sweep,block-sweep/block_512/gpu/particles_4000/run_02.log,gpu,4000,5000,0.95,0.5,42,0,512,86.666667,10.297526,2000.0,-3540.4063552252,-1540.4063552252,5099.9528239213,-6640.6254692928,-1540.6726453715,-0.2662901464,-
block_sweep,block-sweep/block_512/gpu/particles_4000/run_03.log,gpu,4000,5000,0.95,0.5,42,0,512,86.666667,10.29774,2000.0,-3540.4063552252,-1540.4063552252,5099.9528239213,-6640.6254692928,-1540.6726453715,-0.2662901464,-
block_sweep,block-sweep/block_512/gpu/particles_4000/run_04.log,gpu,4000,5000,0.95,0.5,42,0,512,86.666667,10.298237,2000.0,-3540.4063552252,-1540.4063552252,5099.9528239213,-6640.6254692928,-1540.6726453716,-0.2662901464,-
block_sweep,block-sweep/block_512/gpu/particles_4000/run_05.log,gpu,4000,5000,0.95,0.5,42,0,512,86.666667,10.29762,2000.0,-3540.4063552252,-1540.4063552252,5099.9528239213,-6640.6254692928,-1540.6726453716,-0.2662901464,-
block_sweep,block-sweep/block_512/gpu/particles_8000/run_01.log,gpu,8000,5000,0.95,0.5,42,0,512,122.666667,19.334662,4000.0,-9024.483163964,-5024.483163964,9688.0233355217,-14712.8408261831,-5024.8174906614,-0.3343266974,-
block_sweep,block-sweep/block_64/gpu/particles_1000/run_01.log,gpu,1000,5000,0.95,0.5,42,0,64,44.0,2.840538,500.0,-1374.6937798533,-874.6937798533,742.0151925042,-1616.7049722225,-874.6897797182,0.004000135,-
block_sweep,block-sweep/block_64/gpu/particles_1000/run_02.log,gpu,1000,5000,0.95,0.5,42,0,64,44.0,2.768272,500.0,-1374.6937798533,-874.6937798533,742.0151925042,-1616.7049722225,-874.6897797182,0.004000135,-
block_sweep,block-sweep/block_64/gpu/particles_1000/run_03.log,gpu,1000,5000,0.95,0.5,42,0,64,44.0,2.769531,500.0,-1374.6937798533,-874.6937798533,742.0151925042,-1616.7049722225,-874.6897797182,0.004000135,-
block_sweep,block-sweep/block_64/gpu/particles_1000/run_04.log,gpu,1000,5000,0.95,0.5,42,0,64,44.0,2.768318,500.0,-1374.6937798533,-874.6937798533,742.0151925042,-1616.7049722225,-874.6897797182,0.004000135,-
block_sweep,block-sweep/block_64/gpu/particles_1000/run_05.log,gpu,1000,5000,0.95,0.5,42,0,64,44.0,2.768174,500.0,-1374.6937798533,-874.6937798533,742.0151925042,-1616.7049722225,-874.6897797182,0.004000135,-
block_sweep,block-sweep/block_64/gpu/particles_2000/run_01.log,gpu,2000,5000,0.95,0.5,42,0,64,61.333333,4.707346,1000.0,-2209.7222426854,-1209.7222426854,2002.767543507,-3212.5895124752,-1209.8219689683,-0.0997262828,-
block_sweep,block-sweep/block_64/gpu/particles_2000/run_02.log,gpu,2000,5000,0.95,0.5,42,0,64,61.333333,4.706303,1000.0,-2209.7222426854,-1209.7222426854,2002.767543507,-3212.5895124752,-1209.8219689683,-0.0997262828,-
block_sweep,block-sweep/block_64/gpu/particles_2000/run_03.log,gpu,2000,5000,0.95,0.5,42,0,64,61.333333,4.708255,1000.0,-2209.7222426854,-1209.7222426854,2002.767543507,-3212.5895124752,-1209.8219689683,-0.0997262828,-
block_sweep,block-sweep/block_64/gpu/particles_2000/run_04.log,gpu,2000,5000,0.95,0.5,42,0,64,61.333333,4.707812,1000.0,-2209.7222426854,-1209.7222426854,2002.767543507,-3212.5895124752,-1209.8219689683,-0.0997262828,-
block_sweep,block-sweep/block_64/gpu/particles_2000/run_05.log,gpu,2000,5000,0.95,0.5,42,0,64,61.333333,4.704437,1000.0,-2209.7222426854,-1209.7222426854,2002.767543507,-3212.5895124752,-1209.8219689683,-0.0997262828,-
block_sweep,block-sweep/block_64/gpu/particles_4000/run_01.log,gpu,4000,5000,0.95,0.5,42,0,64,86.666667,8.543841,2000.0,-3540.4063552252,-1540.4063552252,5099.9528239213,-6640.6254692928,-1540.6726453715,-0.2662901464,-
block_sweep,block-sweep/block_64/gpu/particles_4000/run_02.log,gpu,4000,5000,0.95,0.5,42,0,64,86.666667,8.542913,2000.0,-3540.4063552252,-1540.4063552252,5099.9528239213,-6640.6254692928,-1540.6726453715,-0.2662901464,-
block_sweep,block-sweep/block_64/gpu/particles_4000/run_03.log,gpu,4000,5000,0.95,0.5,42,0,64,86.666667,8.543443,2000.0,-3540.4063552252,-1540.4063552252,5099.9528239213,-6640.6254692928,-1540.6726453715,-0.2662901464,-
block_sweep,block-sweep/block_64/gpu/particles_4000/run_04.log,gpu,4000,5000,0.95,0.5,42,0,64,86.666667,8.54439,2000.0,-3540.4063552252,-1540.4063552252,5099.9528239213,-6640.6254692928,-1540.6726453715,-0.2662901464,-
block_sweep,block-sweep/block_64/gpu/particles_4000/run_05.log,gpu,4000,5000,0.95,0.5,42,0,64,86.666667,8.548915,2000.0,-3540.4063552252,-1540.4063552252,5099.9528239213,-6640.6254692928,-1540.6726453715,-0.2662901464,-
block_sweep,block-sweep/block_64/gpu/particles_8000/run_01.log,gpu,8000,5000,0.95,0.5,42,0,64,122.666667,16.02553,4000.0,-9024.483163964,-5024.483163964,9688.0233355217,-14712.8408261831,-5024.8174906614,-0.3343266974,-
energy,energy/energy_gpu_particles_1000_steps_5000_block_256.log,gpu,1000,5000,0.95,0.5,42,1,256,44.0,3.113801,500.0,-1374.6937798533,-874.6937798533,742.0151925042,-1616.7049722225,-874.6897797182,0.004000135,-
visualization,visualization/gpu_particles_1000_steps_5000_block_256/visualization.log,gpu,1000,5000,0.95,0.5,42,0,256,44.0,2.862757,500.0,-1374.6937798533,-874.6937798533,742.0151925042,-1616.7049722225,-874.6897797182,0.004000135,/d/hpc/home/rm26805/hpc-hw3/src/lennard-jones/results/20260504_131723/visualization/gpu_particles_1000_steps_5000_block_256/final_state.csv
